CustomerID,Age,Gender,TenureMonths,MonthlyCharges,TotalCharges,SupportCalls,SatisfactionScore,ContractType,PaymentMethod,InternetUsageGB,AnnualIncome,Region,Churn
CUST100000,27.0,Male,29,63.58,,2,1,One Year,Net Banking,152.96,31172.97,South,0
CUST100001,36.0,Female,36,100.15,3496.65,3,4,One Year,Credit Card,118.13,67921.36,North,0
CUST100002,40.0,Male,14,77.08,1056.23,1,4,Month-to-Month,UPI,123.11,32261.85,East,0
CUST100003,23.0,Female,54,30.9,1533.91,1,4,One Year,Credit Card,105.23,93014.0,West,0
CUST100004,56.0,Male,55,59.27,3255.2,4,4,Month-to-Month,Debit Card,72.4,18000.0,East,0
CUST100005,51.0,Male,20,100.64,1958.38,4,5,One Year,Debit Card,119.61,,West,0
CUST100006,38.0,Female,44,92.63,4057.86,0,4,Month-to-Month,UPI,54.76,53432.77,South,0
CUST100007,18.0,Female,47,58.66,2825.41,2,1,Month-to-Month,Debit Card,47.57,50078.08,East,0
CUST100008,38.0,Male,16,64.54,1023.14,0,2,Two Year,UPI,59.45,31852.7,West,0
CUST100009,36.0,Female,11,96.86,1085.82,2,3,One Year,Net Banking,131.27,52168.48,East,0
CUST100010,43.0,Female,72,107.5,7744.79,2,2,Month-to-Month,Credit Card,80.8,34709.86,West,0
CUST100011,47.0,Female,15,43.31,661.67,0,2,One Year,Net Banking,30.07,51906.83,North,0
CUST100012,59.0,Male,19,61.48,1263.2,2,3,Two Year,Credit Card,111.44,18000.0,East,0
CUST100013,18.0,Female,14,,831.68,0,2,One Year,Credit Card,148.44,26592.14,South,0
CUST100014,46.0,,31,64.47,1966.88,3,2,Month-to-Month,Net Banking,110.68,27917.67,West,0
CUST100015,37.0,Female,10,114.92,1098.69,4,5,One Year,UPI,146.98,153296.47,East,1
CUST100016,18.0,Male,11,94.49,,4,3,Month-to-Month,Net Banking,93.84,58276.71,East,1
CUST100017,56.0,Male,37,76.3,2787.1,0,2,One Year,UPI,66.01,69132.53,West,0
CUST100018,,Female,25,119.32,3060.99,3,4,One Year,Credit Card,32.91,87000.77,East,0
CUST100019,29.0,Male,16,78.75,1114.26,2,5,Month-to-Month,Credit Card,74.75,80129.25,East,0
CUST100020,47.0,Female,35,50.16,1681.21,3,4,One Year,UPI,199.85,44577.25,West,0
CUST100021,47.0,Male,24,86.87,2028.36,0,5,Month-to-Month,Credit Card,65.58,42976.72,South,0
CUST100022,42.0,Female,27,56.89,1590.99,1,3,One Year,Credit Card,84.95,35192.44,South,0
CUST100023,43.0,Female,19,51.67,905.62,0,3,Month-to-Month,Net Banking,90.39,22885.41,South,0
CUST100024,34.0,Male,10,55.41,,2,5,Month-to-Month,Net Banking,69.22,66719.53,North,0
CUST100025,19.0,,24,56.59,1252.86,3,2,Month-to-Month,UPI,53.94,41253.09,South,0
CUST100026,39.0,Male,26,92.01,2469.39,5,2,Month-to-Month,Net Banking,48.49,40381.94,West,0
CUST100027,31.0,Male,59,78.38,4578.52,2,3,Month-to-Month,UPI,102.66,41382.62,West,0
CUST100028,,Female,17,121.82,2083.92,4,2,Month-to-Month,Credit Card,43.08,96662.23,North,0
CUST100029,36.0,Female,35,42.9,1558.49,2,3,One Year,UPI,145.78,70369.8,East,0
CUST100030,58.0,Female,15,79.37,1199.4,4,4,One Year,Debit Card,68.63,55388.87,West,0
CUST100031,38.0,Female,27,100.87,2531.08,3,1,Month-to-Month,UPI,138.92,67518.85,South,0
CUST100032,32.0,Female,39,20.0,690.78,2,2,Month-to-Month,UPI,41.8,18000.0,South,0
CUST100033,30.0,Female,32,83.99,2487.21,0,3,Two Year,Debit Card,68.4,48743.98,West,0
CUST100034,40.0,Female,58,77.11,4541.85,1,4,Month-to-Month,UPI,51.75,36022.57,West,0
CUST100035,35.0,Male,13,63.58,749.13,1,2,Month-to-Month,UPI,116.41,59299.45,East,1
CUST100036,52.0,Other,14,91.25,1233.78,3,3,Month-to-Month,Credit Card,34.1,21088.99,West,0
CUST100037,29.0,Female,5,59.16,350.79,1,3,Two Year,Credit Card,36.53,63058.32,West,0
CUST100038,37.0,Female,30,96.91,3056.59,3,4,One Year,UPI,73.08,68886.15,North,0
CUST100039,21.0,Male,67,77.24,5123.28,0,4,One Year,Debit Card,30.47,121425.72,West,0
CUST100040,46.0,Male,7,62.96,534.56,3,4,Month-to-Month,UPI,35.81,39731.28,West,0
CUST100041,39.0,Male,23,66.14,1532.69,0,3,Month-to-Month,Net Banking,10.77,64758.28,South,0
CUST100042,35.0,Female,60,77.45,4772.31,1,3,One Year,UPI,65.23,32597.56,North,0
CUST100043,28.0,Female,14,102.22,1312.42,1,2,Month-to-Month,Credit Card,44.5,24521.12,West,1
CUST100044,37.0,Female,25,69.55,1791.88,1,3,One Year,Net Banking,72.44,81655.87,North,0
CUST100045,24.0,Male,34,73.13,2457.11,2,4,Month-to-Month,Debit Card,47.93,36457.8,East,0
CUST100046,22.0,Female,9,98.77,934.07,4,3,Month-to-Month,UPI,414.37,51684.05,South,0
CUST100047,32.0,Female,2,82.81,141.1,2,3,Month-to-Month,UPI,42.0,34345.74,South,0
CUST100048,44.0,Female,39,37.95,1540.88,3,4,Two Year,UPI,43.76,35322.41,North,0
CUST100049,38.0,Male,22,47.31,1103.36,3,5,Month-to-Month,Debit Card,81.32,38604.52,West,0
CUST100050,39.0,Female,51,85.39,4411.93,2,4,Month-to-Month,Credit Card,79.19,30351.79,South,0
CUST100051,44.0,Female,56,69.16,3771.05,1,3,Month-to-Month,UPI,31.62,36164.24,West,0
CUST100052,36.0,Female,29,61.29,1730.36,3,4,One Year,Credit Card,105.14,47614.62,South,0
CUST100053,42.0,Male,72,71.9,5143.87,2,2,One Year,Debit Card,43.0,77744.23,East,0
CUST100054,45.0,Female,28,47.21,1354.47,2,4,Month-to-Month,Debit Card,33.95,80859.25,South,0
CUST100055,44.0,Female,21,63.82,1349.57,0,2,One Year,Credit Card,57.3,40372.65,South,0
CUST100056,50.0,Male,14,58.6,868.16,0,3,One Year,Net Banking,67.39,75041.35,East,0
