Student_ID,Age,Gender,City,Study_Mode,Attendance_Percentage,Study_Hours_Per_Day,Previous_Score,Assignments_Completed,Internet_Access,Final_Score,Placed
1001,19,Female,Delhi,Offline,99.9,4.9,58.6,5,Yes,56.7,No
1002,24,Female,Amritsar,Offline,100,5.0,80.3,10,Yes,62.1,No
1003,26,Female,Amritsar,Hybrid,90.7,4.9,100,4,Yes,53.5,No
1004,24,Female,Amritsar,Hybrid,65.5,6.8,72.4,3,Yes,43.0,No
1005,27,Male,Lucknow,Online,95.1,,69.8,5,Yes,57.7,No
1006,21,Male,Chandigarh,Online,69.2,6.5,89.0,6,Yes,60.5,No
1007,21,Male,Lucknow,Hybrid,82.0,1.8,55.8,4,Yes,33.7,No
1008,19,Male,,Online,75.2,1.4,67.8,4,Yes,32.3,No
1009,23,Female,Delhi,Offline,90.5,7.9,73.5,9,Yes,69.9,No
1010,18,Female,Chandigarh,Online,70.7,2.4,67.1,2,Yes,24.9,Yes
1011,22,Male,Delhi,Offline,60.5,5.8,60.5,8,No,32.8,No
1012,23,Male,Amritsar,Offline,82.7,6.4,,3,Yes,60.7,No
1013,22,Male,Chandigarh,Offline,75.8,1.8,67.9,6,Yes,32.0,No
1014,25,Male,Jaipur,Hybrid,76.4,4.1,74.8,10,Yes,53.0,No
1015,19,Male,Delhi,Offline,75.9,16.0,77.4,4,Yes,40.9,No
1016,25,Male,Jaipur,Hybrid,85.6,6.4,59.6,7,Yes,52.8,No
1017,21,Female,Jaipur,Offline,62.5,2.8,57.4,3,Yes,22.9,No
1018,25,Male,Jaipur,Offline,82.9,6.9,66.4,5,Yes,47.7,No
1019,18,Male,Lucknow,Offline,70.4,,66.9,7,Yes,44.0,No
1020,21,Male,Amritsar,Hybrid,80.5,6.5,64.6,10,Yes,50.4,No
1021,22,Male,Jaipur,Hybrid,75.4,2.5,67.7,4,Yes,26.9,No
1022,21,Female,Chandigarh,Offline,85.0,5.7,69.6,7,Yes,63.3,No
1023,20,Male,Chandigarh,Offline,87.2,6.4,85.8,4,Yes,53.1,No
1024,25,Female,Delhi,Hybrid,90.6,4.7,65.6,7,Yes,48.1,No
1025,23,Female,Lucknow,Hybrid,80.8,1.8,55.7,7,Yes,32.6,No
1026,19,Female,Jaipur,Offline,98.8,1.7,75.7,5,Yes,39.4,No
1027,21,Male,Jaipur,Online,75.1,6.6,84.8,10,Yes,72.9,Yes
1028,25,Male,Delhi,Hybrid,63.3,3.4,59.8,2,Yes,33.3,No
1029,19,Male,Delhi,Offline,59.1,3.3,71.5,9,Yes,43.9,No
1030,25,Female,Amritsar,Offline,74.4,5.5,55.8,4,,40.9,No
1031,27,Male,Jaipur,Online,78.3,4.4,59.5,3,Yes,39.7,No
1032,25,Female,Amritsar,Offline,82.7,4.0,62.6,9,Yes,48.2,No
1033,25,Male,Amritsar,Offline,72.4,6.4,96.8,2,Yes,59.6,No
1034,22,Female,Amritsar,Online,72.5,5.6,56.5,6,Yes,52.9,No
1035,23,Male,Amritsar,Hybrid,66.1,6.5,67.4,4,Yes,47.8,No
1036,19,Male,Delhi,Offline,82.1,7.1,89.4,7,Yes,61.4,No
1037,20,Female,Delhi,Hybrid,78.5,8.1,,5,Yes,61.5,No
1038,18,Female,Amritsar,Hybrid,72.5,2.7,64.6,6,Yes,45.4,Yes
1039,21,Female,Jaipur,Hybrid,72.3,5.7,74.9,3,Yes,60.4,No
1040,27,Female,Lucknow,Hybrid,57.2,4.4,81.9,4,Yes,53.4,No
1041,24,Male,Lucknow,Hybrid,76.7,9.1,60.6,10,No,57.4,No
1042,24,Female,Jaipur,Offline,85.5,9.0,60.5,10,Yes,57.7,No
1043,25,Female,Jaipur,Offline,79.6,6.0,73.4,8,Yes,54.0,No
1044,21,Male,Jaipur,Offline,71.8,,78.1,2,Yes,28.7,No
1045,26,Female,Lucknow,Offline,82.1,7.8,90.1,6,Yes,70.8,No
1046,23,Male,Chandigarh,Offline,76.5,4.5,68.2,9,Yes,42.3,No
1047,20,Female,Delhi,Hybrid,62.4,3.1,50.2,6,Yes,39.5,No
1048,20,Female,Amritsar,Offline,69.6,3.3,48.8,4,Yes,32.0,No
1049,22,Male,Delhi,Online,74.5,4.8,83.7,3,Yes,36.8,No
1050,19,Male,Delhi,Offline,67.2,6.4,64.7,5,No,40.8,No
1051,25,Male,Amritsar,Online,56.9,6.4,72.0,8,Yes,49.5,Yes
1052,21,Male,Jaipur,Hybrid,67.7,4.6,69.2,7,Yes,45.1,No
1053,19,Female,Lucknow,Hybrid,77.6,7.5,61.0,10,Yes,52.3,No
1054,27,Female,Chandigarh,Hybrid,89.9,1.8,71.9,7,Yes,45.6,No
1055,22,Male,Delhi,Online,18.0,1.8,62.6,4,Yes,42.8,No
1056,20,Male,Delhi,Offline,71.4,5.7,89.4,9,Yes,57.2,No
1057,19,Female,Chandigarh,Online,67.3,5.1,35,7,Yes,35.5,No
1058,20,Male,Chandigarh,Offline,75.2,4.7,88.6,9,Yes,42.3,No
1059,23,Male,,Online,65.6,3.0,79.4,8,Yes,40.0,No
1060,18,Female,Chandigarh,Hybrid,83.4,3.0,84.3,5,No,34.9,No
1061,22,Female,Lucknow,Online,61.3,8.3,70.5,8,No,49.4,No
1062,27,Male,Jaipur,Offline,96.4,5.5,52.2,8,No,43.0,No
1063,26,Male,Chandigarh,Offline,65.1,2.9,47.2,4,Yes,35.6,No
1064,19,Male,Amritsar,Offline,65.1,7.6,76.3,3,Yes,48.5,Yes
1065,19,Female,Delhi,Hybrid,98.3,7.6,73.2,8,Yes,66.6,No
1066,27,Female,Jaipur,Online,74.4,3.2,72.1,4,Yes,37.3,Yes
1067,19,Female,Delhi,Online,89.7,5.1,58.1,2,No,38.8,No
1068,26,Female,Amritsar,Hybrid,82.1,7.2,70.8,10,Yes,58.6,No
1069,19,Female,Amritsar,Offline,74.4,2.5,59.1,2,Yes,29.8,No
1070,23,Male,Chandigarh,Online,77.2,5.8,,7,Yes,53.9,No
1071,20,Female,Chandigarh,Hybrid,94.7,4.2,69.1,10,Yes,53.3,No
1072,19,Male,Chandigarh,Offline,100,3.9,76.7,6,No,38.0,No
1073,26,Male,Chandigarh,Hybrid,79.1,5.1,64.0,3,,43.8,No
1074,26,Female,Jaipur,Hybrid,78.2,4.4,66.9,7,Yes,38.7,No
1075,21,Female,Lucknow,Hybrid,93.0,5.0,90.1,5,Yes,54.9,No
1076,21,Male,Delhi,Hybrid,53.8,6.8,86.4,5,No,50.8,No
1077,26,Female,Chandigarh,Hybrid,79.6,1.3,62.7,2,Yes,30.8,No
1078,22,Male,Delhi,Offline,64.4,2.8,62.0,9,Yes,33.8,No
1079,24,Female,Delhi,Offline,89.6,,63.5,6,Yes,36.2,No
1080,18,Male,Amritsar,Online,100,4.0,85.3,9,Yes,68.9,No
1081,24,Male,Jaipur,Hybrid,65.4,4.6,61.0,9,Yes,47.8,No
1082,24,Male,Amritsar,Hybrid,72.2,6.0,76.3,3,Yes,47.9,No
1083,19,Male,Lucknow,Offline,79.1,4.6,50.2,4,Yes,37.1,No
1084,25,Female,Lucknow,Offline,71.7,5.5,61.0,9,No,62.7,No
1085,23,Male,Amritsar,Offline,79.2,1.1,74.0,6,Yes,40.8,No
1086,27,Male,Lucknow,Offline,86.3,5.1,74.1,9,No,50.2,No
1087,27,Female,Lucknow,Offline,81.9,4.8,73.4,9,Yes,55.4,No
1088,23,Male,,Hybrid,64.8,5.0,62.6,2,Yes,53.1,No
1089,24,Female,Delhi,Offline,92.9,3.3,60.4,6,No,39.3,No
1090,18,Male,Jaipur,Offline,83.7,5.5,87.6,4,Yes,52.0,No
1091,21,Female,Lucknow,Hybrid,63.8,5.1,78.2,5,Yes,48.9,No
1092,20,Female,Chandigarh,Offline,74.0,5.8,120.0,7,Yes,41.5,No
1093,20,Female,Lucknow,Online,90.6,3.8,65.5,3,Yes,48.8,No
1094,20,Male,Jaipur,Online,68.1,3.4,71.2,4,Yes,41.6,No
1095,21,Male,Chandigarh,Online,66.1,0.5,,5,Yes,20,No
1096,26,Male,Lucknow,Online,87.6,2.6,60.2,9,Yes,45.6,No
1097,24,Female,Jaipur,Online,67.4,6.0,51.7,3,Yes,39.2,No
1098,20,Male,Jaipur,Offline,66.5,10.1,91.9,9,Yes,67.7,No
1099,21,Male,Delhi,Online,72.9,6.0,73.9,4,No,47.4,No
1100,23,Female,Jaipur,Offline,100,4.8,82.3,7,Yes,63.2,No
1101,21,Male,Delhi,Offline,78.2,7.6,81.4,9,Yes,68.7,Yes
1102,22,Female,Jaipur,Online,77.0,5.1,54.6,3,Yes,28.3,No
1103,24,Male,Lucknow,Offline,82.5,8.8,65.2,9,Yes,65.9,No
1104,23,Female,Amritsar,Offline,73.6,,79.2,8,Yes,48.5,No
1105,27,Female,Amritsar,Online,74.8,0.5,69.1,9,Yes,33.5,No
1106,20,Female,Amritsar,Online,87.8,3.5,55.1,4,Yes,41.9,No
1107,26,Female,Amritsar,Online,90.7,3.9,41.8,3,No,23.7,No
1108,26,Female,Delhi,Hybrid,83.3,5.4,81.9,3,Yes,41.8,No
1109,18,Female,Chandigarh,Hybrid,66.6,2.3,68.4,2,Yes,22.8,No
1110,21,Female,Chandigarh,Hybrid,72.5,3.4,78.8,8,No,43.9,No
1111,19,Male,Chandigarh,Offline,86.7,0.9,62.7,9,Yes,38.9,No
1112,24,Female,Amritsar,Hybrid,68.5,4.8,65.8,9,No,39.7,No
1113,20,Female,Chandigarh,Offline,68.1,1.0,69.3,8,Yes,30.9,No
1114,23,Male,Chandigarh,Hybrid,66.9,5.5,66.3,10,Yes,62.8,No
1115,23,Female,Amritsar,Hybrid,86.8,7.0,74.7,10,Yes,65.2,No
1116,20,Female,Lucknow,Hybrid,95.7,0.9,70.9,3,Yes,31.8,No
1117,25,Male,Delhi,Hybrid,85.4,7.2,87.5,8,Yes,71.0,Yes
1118,26,Male,Chandigarh,Online,58.3,7.8,68.9,3,Yes,48.3,No
1119,20,Male,Amritsar,Offline,57.4,6.3,77.6,10,No,42.2,No
1120,20,Male,Amritsar,Offline,79.3,6.5,63.7,7,Yes,46.3,No
